ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8100557	0.0000498	5.42e-09	-1.05e+02	10.9678	-8.27176474	TECRL	trans-2,3-enoyl-CoA reductase-like
7965403	0.0000498	7.21e-09	-9.91e+01	10.82767	-8.33338974	LUM	lumican
7906919	0.0000498	1.15e-08	-8.97e+01	10.57776	-6.07610782	RGS4	regulator of G-protein signaling 4
7957140	0.0000498	1.57e-08	-8.38e+01	10.39229	-5.21853515	LGR5	leucine rich repeat containing G protein-coupled receptor 5
7973135	0.0000498	1.83e-08	-8.10e+01	10.29695	-5.20931833	SLC39A2	solute carrier family 39 member 2
8077513	0.0000498	2.02e-08	-7.93e+01	10.23257	-5.07234187	THUMPD3	THUMP domain containing 3
8026490	0.0000498	2.05e-08	-7.91e+01	10.22455	-5.73884847	UCA1	urothelial cancer associated 1 (non-protein coding)
7961540	0.0000498	2.45e-08	-7.60e+01	10.10581	-4.98468595	RERG	RAS like estrogen regulated growth inhibitor
7932254	0.0000498	2.48e-08	-7.59e+01	10.099	-5.12440602	ITGA8	integrin subunit alpha 8
7971104	0.0000498	2.55e-08	7.54e+01	10.07938	4.66888148	TRPC4	transient receptor potential cation channel subfamily C member 4
7907222	0.0000498	2.85e-08	-7.36e+01	10.00333	-4.72588734	PRRX1	paired related homeobox 1
7947338	0.0000498	3.19e-08	7.18e+01	9.92546	4.4206545	PAX6	paired box 6
8097957	0.0000498	3.25e-08	-7.16e+01	9.91247	-5.03094665	GUCY1A3	guanylate cyclase 1 soluble subunit alpha
8095456	0.0000498	3.59e-08	-7.00e+01	9.84214	-4.90904406	ODAM	odontogenic, ameloblast asssociated
8065412	0.0000498	3.70e-08	-6.96e+01	9.81956	-5.57913944	CST1	cystatin SN
8083034	0.0000498	3.72e-08	-6.95e+01	9.81616	-4.32666938	CLSTN2	calsyntenin 2
8084165	0.0000498	3.81e-08	6.91e+01	9.79919	5.17337695	SOX2	SRY-box 2
7917037	0.0000498	3.81e-08	-6.91e+01	9.79914	-4.95066343	CRYZ	crystallin zeta
7971122	0.0000498	3.93e-08	6.87e+01	9.77729	4.33335836		
8141950	0.0000498	3.95e-08	-6.86e+01	9.77222	-5.42540262	RELN	reelin
7943345	0.0000498	4.02e-08	-6.84e+01	9.76052	-4.70400739		
8127193	0.0000498	4.22e-08	-6.76e+01	9.72452	-5.29702203	BMP5///BMP5	bone morphogenetic protein 5///bone morphogenetic protein 5
8150698	0.0000498	4.42e-08	-6.69e+01	9.68913	-5.11888119	SNAI2	snail family transcriptional repressor 2
7947274	0.0000498	4.67e-08	-6.61e+01	9.64808	-4.23091514	MPPED2	metallophosphoesterase domain containing 2
7951479	0.0000498	4.89e-08	-6.55e+01	9.61407	-5.3805937	SLN	sarcolipin
8163202	0.0000498	5.22e-08	-6.46e+01	9.5643	-4.82156165	SVEP1///SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1///sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
8135734	0.0000498	5.33e-08	-6.43e+01	9.54778	-4.59618554	CPED1	cadherin like and PC-esterase domain containing 1
8162039	0.0000498	5.40e-08	-6.41e+01	9.53821	-5.02718499	C9orf64	chromosome 9 open reading frame 64
8139820	0.0000498	5.43e-08	-6.40e+01	9.53412	-5.13739975	ZNF680	zinc finger protein 680
7976783	0.0000498	5.44e-08	6.40e+01	9.53253	4.4827161	DLK1	delta like non-canonical Notch ligand 1
7960919	0.0000498	5.53e-08	-6.38e+01	9.51947	-4.2512657	MFAP5	microfibrillar associated protein 5
8169115	0.0000498	5.68e-08	-6.34e+01	9.49967	-4.47537474	NRK	Nik related kinase
8023528	0.0000498	5.77e-08	-6.32e+01	9.48726	-5.26526901	ALPK2	alpha kinase 2
7961507	0.0000498	5.83e-08	-6.31e+01	9.479	-4.13960586	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)
7936798	0.0000498	5.93e-08	6.28e+01	9.46494	3.85279546	FAM24B-CUZD1///CUZD1	FAM24B-CUZD1 readthrough///CUB and zona pellucida like domains 1
7974109	0.0000498	6.00e-08	-6.26e+01	9.45586	-4.23848626	LRFN5	leucine rich repeat and fibronectin type III domain containing 5
7948167	0.0000498	6.13e-08	-6.24e+01	9.43964	-4.73245451	APLNR	apelin receptor
8012906	0.0000498	6.25e-08	-6.21e+01	9.42472	-4.42750006		
8101788	0.0000498	6.33e-08	-6.19e+01	9.414	-4.37137504	UNC5C	unc-5 netrin receptor C
8147837	0.0000498	6.47e-08	-6.16e+01	9.39719	-4.32186374	ZFPM2	zinc finger protein, FOG family member 2
8152617	0.0000498	6.48e-08	-6.16e+01	9.39611	-4.24327699	HAS2	hyaluronan synthase 2
8104663	0.0000498	6.59e-08	6.14e+01	9.38297	4.2150887	CDH6	cadherin 6
8002941	0.0000498	6.62e-08	-6.13e+01	9.37893	-4.19863587	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18
8139488	0.0000499	6.94e-08	-6.07e+01	9.34123	-3.76440191	IGFBP3	insulin like growth factor binding protein 3
8059905	0.0000499	7.14e-08	-6.03e+01	9.31872	-6.16730398	COL6A3	collagen type VI alpha 3 chain
7982366	0.0000499	7.19e-08	6.03e+01	9.31297	3.84286318	SCG5	secretogranin V
8111993	0.0000499	7.26e-08	-6.01e+01	9.30515	-4.08699024	FGF10	fibroblast growth factor 10
8151369	0.0000514	7.64e-08	-5.95e+01	9.26408	-3.80548462	SBSPON	somatomedin B and thrombospondin type 1 domain containing
8149071	0.000052	7.89e-08	-5.91e+01	9.23801	-4.24470699	ANGPT2	angiopoietin 2
8070629	0.0000527	8.15e-08	-5.86e+01	9.21126	-3.66016503	ERVH48-1	endogenous retrovirus group 48 member 1
8103254	0.0000534	8.52e-08	5.81e+01	9.17514	3.60221696	SFRP2	secreted frizzled related protein 2
8088911	0.0000534	8.67e-08	-5.79e+01	9.16003	-4.13021145	ZNF717	zinc finger protein 717
7965410	0.0000534	8.83e-08	-5.76e+01	9.1453	-3.61669142	DCN	decorin
8078330	0.0000534	8.93e-08	-5.75e+01	9.13612	-4.12692821	RBMS3	RNA binding motif single stranded interacting protein 3
8109926	0.0000552	9.57e-08	-5.66e+01	9.07776	-3.46252229	GABRP	gamma-aminobutyric acid type A receptor pi subunit
8040725	0.0000552	9.76e-08	5.64e+01	9.06163	3.68230366	DPYSL5	dihydropyrimidinase like 5
7997336	0.0000552	9.81e-08	5.63e+01	9.05765	3.51987452	VAT1L	vesicle amine transport 1 like
8088642	0.0000552	9.90e-08	5.62e+01	9.04936	3.44941107	LRIG1	leucine rich repeats and immunoglobulin like domains 1
8057620	0.0000553	1.05e-07	-5.55e+01	9.00143	-3.50105453	COL5A2	collagen type V alpha 2 chain
8022692	0.0000553	1.05e-07	-5.55e+01	8.99872	-3.45206389	DSC3	desmocollin 3
8140556	0.0000553	1.06e-07	-5.54e+01	8.99132	-5.80916976	HGF	hepatocyte growth factor
8095080	0.0000553	1.06e-07	-5.54e+01	8.99021	-3.84919572	PDGFRA	platelet derived growth factor receptor alpha
7945680	0.0000553	1.08e-07	-5.52e+01	8.97825	-6.03162103	H19///RPS12	H19, imprinted maternally expressed transcript (non-protein coding)///ribosomal protein S12
7965565	0.0000553	1.10e-07	5.50e+01	8.96401	3.94254814	USP44	ubiquitin specific peptidase 44
8012896	0.0000559	1.13e-07	-5.46e+01	8.93402	-3.86234827	PMP22	peripheral myelin protein 22
8132250	0.0000559	1.14e-07	-5.45e+01	8.92793	-3.57807709	BMPER	BMP binding endothelial regulator
7932985	0.0000559	1.16e-07	-5.43e+01	8.91532	-4.06023655	NRP1	neuropilin 1
7979133	0.0000566	1.19e-07	-5.40e+01	8.89289	-3.34261957	NID2	nidogen 2
7966631	0.0000602	1.29e-07	5.30e+01	8.82096	4.63872381	LHX5	LIM homeobox 5
8094301	0.0000602	1.32e-07	-5.28e+01	8.8049	-4.53148194	SLIT2	slit guidance ligand 2
7938035	0.0000602	1.32e-07	5.28e+01	8.80094	3.55519866	TRIM22	tripartite motif containing 22
8046922	0.0000602	1.35e-07	-5.26e+01	8.78364	-4.70506826	COL3A1	collagen type III alpha 1 chain
8096704	0.0000602	1.38e-07	-5.23e+01	8.76717	-3.83299278	NPNT	nephronectin
8122202	0.0000602	1.38e-07	5.23e+01	8.76233	3.31459171	MYB///MYB	MYB proto-oncogene, transcription factor///MYB proto-oncogene, transcription factor
8168622	0.0000602	1.44e-07	-5.18e+01	8.72635	-3.98307285	KLHL4	kelch like family member 4
8023043	0.0000602	1.44e-07	-5.18e+01	8.72455	-3.32976192	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
7962579	0.0000602	1.45e-07	-5.18e+01	8.72149	-3.79397616	AMIGO2	adhesion molecule with Ig like domain 2
7956522	0.0000602	1.46e-07	5.17e+01	8.7163	3.20204858	KIF5A	kinesin family member 5A
8090823	0.0000602	1.47e-07	-5.16e+01	8.70775	-3.94211538	SLCO2A1	solute carrier organic anion transporter family member 2A1
8100393	0.0000605	1.52e-07	-5.13e+01	8.68113	-3.26152205	KDR	kinase insert domain receptor
8057418	0.0000605	1.53e-07	5.12e+01	8.67362	3.47362708	ZNF385B	zinc finger protein 385B
8171172	0.0000605	1.55e-07	-5.10e+01	8.66124	-3.69158561	MXRA5	matrix remodeling associated 5
8077899	0.0000605	1.55e-07	-5.10e+01	8.65966	-3.38226289	PPARG	peroxisome proliferator activated receptor gamma
8121850	0.0000613	1.60e-07	-5.07e+01	8.63362	-3.4223974	HEY2	hes related family bHLH transcription factor with YRPW motif 2
7969050	0.0000613	1.61e-07	-5.06e+01	8.62732	-3.54949889	CYSLTR2	cysteinyl leukotriene receptor 2
