ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7965403	0.0000498	7.21e-09	-9.91e+01	10.82767	-8.33338974	LUM	lumican
8100557	0.0000498	5.42e-09	-1.05e+02	10.9678	-8.27176474	TECRL	trans-2,3-enoyl-CoA reductase-like
8059905	0.0000499	7.14e-08	-6.03e+01	9.31872	-6.16730398	COL6A3	collagen type VI alpha 3 chain
7906919	0.0000498	1.15e-08	-8.97e+01	10.57776	-6.07610782	RGS4	regulator of G-protein signaling 4
7945680	0.0000553	1.08e-07	-5.52e+01	8.97825	-6.03162103	H19///RPS12	H19, imprinted maternally expressed transcript (non-protein coding)///ribosomal protein S12
8140556	0.0000553	1.06e-07	-5.54e+01	8.99132	-5.80916976	HGF	hepatocyte growth factor
8026490	0.0000498	2.05e-08	-7.91e+01	10.22455	-5.73884847	UCA1	urothelial cancer associated 1 (non-protein coding)
8065412	0.0000498	3.70e-08	-6.96e+01	9.81956	-5.57913944	CST1	cystatin SN
8141950	0.0000498	3.95e-08	-6.86e+01	9.77222	-5.42540262	RELN	reelin
7908397	0.0001337	1.20e-06	-3.27e+01	6.65303	-5.40792373	RGS13	regulator of G-protein signaling 13
7951479	0.0000498	4.89e-08	-6.55e+01	9.61407	-5.3805937	SLN	sarcolipin
8127193	0.0000498	4.22e-08	-6.76e+01	9.72452	-5.29702203	BMP5///BMP5	bone morphogenetic protein 5///bone morphogenetic protein 5
8023528	0.0000498	5.77e-08	-6.32e+01	9.48726	-5.26526901	ALPK2	alpha kinase 2
8062395	0.0004843	1.39e-05	-1.92e+01	3.93006	-5.23132628	NNAT	neuronatin
7957140	0.0000498	1.57e-08	-8.38e+01	10.39229	-5.21853515	LGR5	leucine rich repeat containing G protein-coupled receptor 5
7973135	0.0000498	1.83e-08	-8.10e+01	10.29695	-5.20931833	SLC39A2	solute carrier family 39 member 2
8152314	0.0000667	1.81e-07	-4.93e+01	8.52036	-5.17441199	RSPO2	R-spondin 2
8084165	0.0000498	3.81e-08	6.91e+01	9.79919	5.17337695	SOX2	SRY-box 2
8139820	0.0000498	5.43e-08	-6.40e+01	9.53412	-5.13739975	ZNF680	zinc finger protein 680
8138997	0.0001116	8.35e-07	-3.54e+01	7.03493	-5.12751272	TBX20	T-box 20
7932254	0.0000498	2.48e-08	-7.59e+01	10.099	-5.12440602	ITGA8	integrin subunit alpha 8
8150698	0.0000498	4.42e-08	-6.69e+01	9.68913	-5.11888119	SNAI2	snail family transcriptional repressor 2
8077513	0.0000498	2.02e-08	-7.93e+01	10.23257	-5.07234187	THUMPD3	THUMP domain containing 3
8057677	0.0002597	4.47e-06	-2.46e+01	5.2224	-5.03466373	SLC40A1	solute carrier family 40 member 1
8097957	0.0000498	3.25e-08	-7.16e+01	9.91247	-5.03094665	GUCY1A3	guanylate cyclase 1 soluble subunit alpha
8162039	0.0000498	5.40e-08	-6.41e+01	9.53821	-5.02718499	C9orf64	chromosome 9 open reading frame 64
7961540	0.0000498	2.45e-08	-7.60e+01	10.10581	-4.98468595	RERG	RAS like estrogen regulated growth inhibitor
7917037	0.0000498	3.81e-08	-6.91e+01	9.79914	-4.95066343	CRYZ	crystallin zeta
8095456	0.0000498	3.59e-08	-7.00e+01	9.84214	-4.90904406	ODAM	odontogenic, ameloblast asssociated
8163202	0.0000498	5.22e-08	-6.46e+01	9.5643	-4.82156165	SVEP1///SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1///sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
7948167	0.0000498	6.13e-08	-6.24e+01	9.43964	-4.73245451	APLNR	apelin receptor
7907222	0.0000498	2.85e-08	-7.36e+01	10.00333	-4.72588734	PRRX1	paired related homeobox 1
8046922	0.0000602	1.35e-07	-5.26e+01	8.78364	-4.70506826	COL3A1	collagen type III alpha 1 chain
7967624	0.0000769	3.04e-07	4.41e+01	8.04101	4.68434623	SLC15A4	solute carrier family 15 member 4
7971104	0.0000498	2.55e-08	7.54e+01	10.07938	4.66888148	TRPC4	transient receptor potential cation channel subfamily C member 4
7966631	0.0000602	1.29e-07	5.30e+01	8.82096	4.63872381	LHX5	LIM homeobox 5
8147030	0.0000747	2.80e-07	4.49e+01	8.11985	4.61133118	STMN2	stathmin 2
8135734	0.0000498	5.33e-08	-6.43e+01	9.54778	-4.59618554	CPED1	cadherin like and PC-esterase domain containing 1
8094301	0.0000602	1.32e-07	-5.28e+01	8.8049	-4.53148194	SLIT2	slit guidance ligand 2
7902345	0.000114	8.68e-07	-3.51e+01	6.99559	-4.5011711	TYW3	tRNA-yW synthesizing protein 3 homolog
7976783	0.0000498	5.44e-08	6.40e+01	9.53253	4.4827161	DLK1	delta like non-canonical Notch ligand 1
8169115	0.0000498	5.68e-08	-6.34e+01	9.49967	-4.47537474	NRK	Nik related kinase
7906878	0.0000806	3.78e-07	-4.20e+01	7.8301	-4.46228829	DDR2	discoidin domain receptor tyrosine kinase 2
7947338	0.0000498	3.19e-08	7.18e+01	9.92546	4.4206545	PAX6	paired box 6
7961102	0.0000726	2.61e-07	-4.56e+01	8.18515	-4.40122303	CLEC1B	C-type lectin domain family 1 member B
8101788	0.0000498	6.33e-08	-6.19e+01	9.414	-4.37137504	UNC5C	unc-5 netrin receptor C
8088180	0.0000726	2.40e-07	-4.64e+01	8.26162	-4.36567228	WNT5A	Wnt family member 5A
8083034	0.0000498	3.72e-08	-6.95e+01	9.81616	-4.32666938	CLSTN2	calsyntenin 2
8147837	0.0000498	6.47e-08	-6.16e+01	9.39719	-4.32186374	ZFPM2	zinc finger protein, FOG family member 2
8115391	0.0001363	1.24e-06	-3.25e+01	6.62594	-4.31241767	HAND1	heart and neural crest derivatives expressed 1
7960919	0.0000498	5.53e-08	-6.38e+01	9.51947	-4.2512657	MFAP5	microfibrillar associated protein 5
8149071	0.000052	7.89e-08	-5.91e+01	9.23801	-4.24470699	ANGPT2	angiopoietin 2
8152617	0.0000498	6.48e-08	-6.16e+01	9.39611	-4.24327699	HAS2	hyaluronan synthase 2
7974109	0.0000498	6.00e-08	-6.26e+01	9.45586	-4.23848626	LRFN5	leucine rich repeat and fibronectin type III domain containing 5
8052072	0.0000981	6.07e-07	-3.79e+01	7.36119	-4.23598702	FSHR	follicle stimulating hormone receptor
7947274	0.0000498	4.67e-08	-6.61e+01	9.64808	-4.23091514	MPPED2	metallophosphoesterase domain containing 2
8104663	0.0000498	6.59e-08	6.14e+01	9.38297	4.2150887	CDH6	cadherin 6
8002941	0.0000498	6.62e-08	-6.13e+01	9.37893	-4.19863587	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18
8045210	0.0003137	6.36e-06	2.28e+01	4.82612	4.19500754	CYP4F30P///CYP4F62P///FAR2P1	cytochrome P450 family 4 subfamily F member 30, pseudogene///cytochrome P450 family 4 subfamily F member 62, pseudogene///fatty acyl-CoA reductase 2 pseudogene 1
8089464	0.0000726	2.57e-07	4.57e+01	8.20116	4.19288831	LOC151760	putative uncharacterized protein LOC151760
8041759	0.0000995	6.19e-07	3.78e+01	7.34146	4.15592286	SIX3	SIX homeobox 3
7974689	0.000078	3.33e-07	-4.32e+01	7.95412	-4.14648228	DACT1	dishevelled binding antagonist of beta catenin 1
7961507	0.0000498	5.83e-08	-6.31e+01	9.479	-4.13960586	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)
8088911	0.0000534	8.67e-08	-5.79e+01	9.16003	-4.13021145	ZNF717	zinc finger protein 717
8078330	0.0000534	8.93e-08	-5.75e+01	9.13612	-4.12692821	RBMS3	RNA binding motif single stranded interacting protein 3
8021946	0.0002932	5.72e-06	-2.33e+01	4.94751	-4.09473136	COLEC12	collectin subfamily member 12
8111993	0.0000499	7.26e-08	-6.01e+01	9.30515	-4.08699024	FGF10	fibroblast growth factor 10
7955441	0.0000956	5.76e-07	-3.84e+01	7.41296	-4.08409162	METTL7A	methyltransferase like 7A
7932985	0.0000559	1.16e-07	-5.43e+01	8.91532	-4.06023655	NRP1	neuropilin 1
8168622	0.0000602	1.44e-07	-5.18e+01	8.72635	-3.98307285	KLHL4	kelch like family member 4
8102232	0.0000742	2.76e-07	-4.50e+01	8.1335	-3.95154351	LEF1	lymphoid enhancer binding factor 1
7965565	0.0000553	1.10e-07	5.50e+01	8.96401	3.94254814	USP44	ubiquitin specific peptidase 44
8090823	0.0000602	1.47e-07	-5.16e+01	8.70775	-3.94211538	SLCO2A1	solute carrier organic anion transporter family member 2A1
8055153	0.0000814	3.99e-07	4.16e+01	7.7784	3.90572119	POTEB3///LOC102723502///POTEB///LOC100288966///POTEB2///POTEF///POTEJ///POTEM///POTEE///POTEKP///POTEG///POTEC///POTED///POTEH	POTE ankyrin domain family member B3///POTE ankyrin domain family member B-like///POTE ankyrin domain family member B///POTE ankyrin domain family member D-like///POTE ankyrin domain family member B2///POTE ankyrin domain family member F///POTE ankyrin domain family member J///POTE ankyrin domain family member M///POTE ankyrin domain family member E///POTE ankyrin domain family member K, pseudogene///POTE ankyrin domain family member G///POTE ankyrin domain family member C///POTE ankyrin domain family member D///POTE ankyrin domain family member H
8012896	0.0000559	1.13e-07	-5.46e+01	8.93402	-3.86234827	PMP22	peripheral myelin protein 22
7936798	0.0000498	5.93e-08	6.28e+01	9.46494	3.85279546	FAM24B-CUZD1///CUZD1	FAM24B-CUZD1 readthrough///CUB and zona pellucida like domains 1
8094340	0.0002822	5.34e-06	-2.37e+01	5.02505	-3.84969238	MIR218-1	microRNA 218-1
8095080	0.0000553	1.06e-07	-5.54e+01	8.99021	-3.84919572	PDGFRA	platelet derived growth factor receptor alpha
8146092	0.0001064	7.34e-07	3.64e+01	7.16759	3.84372785	IDO1	indoleamine 2,3-dioxygenase 1
7982366	0.0000499	7.19e-08	6.03e+01	9.31297	3.84286318	SCG5	secretogranin V
8096704	0.0000602	1.38e-07	-5.23e+01	8.76717	-3.83299278	NPNT	nephronectin
7906900	0.0003198	6.57e-06	-2.26e+01	4.79003	-3.81746282	DDR2	discoidin domain receptor tyrosine kinase 2
8151369	0.0000514	7.64e-08	-5.95e+01	9.26408	-3.80548462	SBSPON	somatomedin B and thrombospondin type 1 domain containing
8001394	0.0002122	2.92e-06	2.70e+01	5.69588	3.80047318	TOX3	TOX high mobility group box family member 3
7962579	0.0000602	1.45e-07	-5.18e+01	8.72149	-3.79397616	AMIGO2	adhesion molecule with Ig like domain 2
8055496	0.0000711	2.16e-07	-4.75e+01	8.36298	-3.76703967	LRP1B	LDL receptor related protein 1B
8139488	0.0000499	6.94e-08	-6.07e+01	9.34123	-3.76440191	IGFBP3	insulin like growth factor binding protein 3
8140534	0.0000931	5.39e-07	-3.89e+01	7.47972	-3.74435206	SEMA3C	semaphorin 3C
7903214	0.000098	6.00e-07	-3.80e+01	7.37252	-3.74379448	PLPPR4	phospholipid phosphatase related 4
7923378	0.000157	1.63e-06	-3.06e+01	6.33104	-3.71989366	CSRP1	cysteine and glycine rich protein 1
8058498	0.0000682	1.98e-07	4.84e+01	8.43952	3.71641086	FZD5	frizzled class receptor 5
8111271	0.0000884	4.61e-07	4.03e+01	7.63555	3.70337336	CDH9	cadherin 9
8171172	0.0000605	1.55e-07	-5.10e+01	8.66124	-3.69158561	MXRA5	matrix remodeling associated 5
8102404	0.0001974	2.51e-06	2.79e+01	5.86114	3.6857974	MIR302A	microRNA 302a
8040725	0.0000552	9.76e-08	5.64e+01	9.06163	3.68230366	DPYSL5	dihydropyrimidinase like 5
8085676	0.000078	3.28e-07	4.34e+01	7.96799	3.68032662	DAZL	deleted in azoospermia like
7907396	0.0000814	4.01e-07	-4.15e+01	7.77429	-3.66688342	C1orf105	chromosome 1 open reading frame 105
8096875	0.0001118	8.41e-07	-3.53e+01	7.02816	-3.66348296	ENPEP	glutamyl aminopeptidase
8088560	0.0000667	1.92e-07	-4.87e+01	8.46986	-3.66146641	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
8070629	0.0000527	8.15e-08	-5.86e+01	9.21126	-3.66016503	ERVH48-1	endogenous retrovirus group 48 member 1
7947156	0.0002748	5.00e-06	-2.40e+01	5.09684	-3.6313983	MUC15	mucin 15, cell surface associated
8016438	0.0001604	1.70e-06	-3.03e+01	6.28434	-3.62566248	HOXB2	homeobox B2
7965410	0.0000534	8.83e-08	-5.76e+01	9.1453	-3.61669142	DCN	decorin
8103254	0.0000534	8.52e-08	5.81e+01	9.17514	3.60221696	SFRP2	secreted frizzled related protein 2
8171161	0.000078	3.36e-07	-4.31e+01	7.94576	-3.58513832	ARSE	arylsulfatase E (chondrodysplasia punctata 1)
7932214	0.0001042	6.97e-07	3.68e+01	7.22039	3.57883941	ACBD7	acyl-CoA binding domain containing 7
8132250	0.0000559	1.14e-07	-5.45e+01	8.92793	-3.57807709	BMPER	BMP binding endothelial regulator
8102406	0.0001322	1.18e-06	3.29e+01	6.67619	3.57254688	MIR302B	microRNA 302b
8008982	0.0001558	1.58e-06	-3.08e+01	6.36207	-3.56474774	TBX4	T-box 4
7929322	0.0000742	2.73e-07	4.51e+01	8.14158	3.55723947	CYP26A1	cytochrome P450 family 26 subfamily A member 1
7991080	0.0001646	1.77e-06	-3.01e+01	6.24365	-3.5565173	BNC1	basonuclin 1
7938035	0.0000602	1.32e-07	5.28e+01	8.80094	3.55519866	TRIM22	tripartite motif containing 22
7969050	0.0000613	1.61e-07	-5.06e+01	8.62732	-3.54949889	CYSLTR2	cysteinyl leukotriene receptor 2
8161520	0.0000836	4.22e-07	-4.11e+01	7.72423	-3.53576586	PGM5P2///PGM5	phosphoglucomutase 5 pseudogene 2///phosphoglucomutase 5
7925250	0.0000884	4.62e-07	4.03e+01	7.63361	3.52527501	GNG4	G protein subunit gamma 4
8103745	0.0000943	5.59e-07	-3.86e+01	7.44342	-3.52190233	HAND2	heart and neural crest derivatives expressed 2
7997336	0.0000552	9.81e-08	5.63e+01	9.05765	3.51987452	VAT1L	vesicle amine transport 1 like
8114415	0.0001023	6.66e-07	-3.72e+01	7.26692	-3.51645963	GFRA3	GDNF family receptor alpha 3
7939007	0.000118	9.25e-07	3.46e+01	6.92877	3.51434085	LUZP2	leucine zipper protein 2
8111255	0.0002581	4.35e-06	-2.47e+01	5.25307	-3.51294714	CDH10	cadherin 10
8057620	0.0000553	1.05e-07	-5.55e+01	9.00143	-3.50105453	COL5A2	collagen type V alpha 2 chain
8106418	0.0001557	1.56e-06	-3.09e+01	6.3768	-3.4989855	CRHBP	corticotropin releasing hormone binding protein
8100541	0.0000995	6.37e-07	-3.75e+01	7.31263	-3.49383888	IGFBP7	insulin like growth factor binding protein 7
